iter	Passed	Remaining
399	44030	11007
400	44145	10898
401	44254	10788
402	44368	10679
403	44467	10566
404	44568	10454
405	44673	10343
406	44785	10233
407	44888	10121
408	44988	10009
409	45080	9895
410	45180	9783
411	45274	9670
412	45376	9558
413	45476	9446
414	45577	9335
415	45685	9224
416	45807	9117
417	45916	9007
418	46017	8895
419	46109	8782
420	46199	8669
421	46279	8553
422	46358	8438
423	46440	8324
424	46517	8208
425	46597	8094
426	46672	7979
427	46748	7864
428	46838	7751
429	46922	7638
430	47026	7528
431	47132	7419
432	47239	7309
433	47352	7201
434	47450	7090
435	47536	6977
436	47614	6864
437	47694	6751
438	47770	6637
439	47853	6525
440	47941	6413
441	48021	6301
442	48120	6191
443	48226	6082
444	48333	5973
445	48439	5864
446	48550	5756
447	48656	5647
448	48762	5538
449	48926	5436
450	49055	5329
451	49182	5222
452	49288	5113
453	49397	5005
454	49499	4895
455	49604	4786
456	49796	4685
457	49908	4576
458	50012	4467
459	50111	4357
460	50207	4247
461	50307	4137
462	50408	4028
463	50512	3919
464	50616	3809
465	50717	3700
466	50817	3590
467	50923	3481
468	51026	3372
469	51142	3264
470	51263	3156
471	51370	3047
472	51491	2939
473	51594	2830
474	51721	2722
475	52027	2623
476	52136	2513
477	52255	2405
478	52387	2296
479	52509	2187
480	52624	2078
481	52733	1969
482	52839	1859
483	52939	1750
484	53042	1640
485	53165	1531
486	53284	1422
487	53410	1313
488	53525	1204
489	53652	1094
490	53753	985
491	53885	876
492	54005	766
493	54125	657
494	54283	548
495	54471	439
496	54668	329
497	54802	220
498	54939	110
499	55054	0
