iter	Logloss
0	0.6171525506
1	0.5504581485
2	0.4923791173
3	0.4397379171
4	0.399545046
5	0.3676389408
6	0.3388877822
7	0.3126414816
8	0.2912174445
9	0.2691635411
10	0.2512983212
11	0.2365756732
12	0.2216439581
13	0.2094113563
14	0.2001441919
15	0.1923348596
16	0.1856726074
17	0.1805972197
18	0.1747721961
19	0.1681034598
20	0.1622157231
21	0.1573799832
22	0.152198896
23	0.149064179
24	0.1451654022
25	0.1416549155
26	0.1388592798
27	0.1359262726
28	0.1330075849
29	0.130737615
30	0.1280923772
31	0.125002668
32	0.1227087578
33	0.1206793906
34	0.1190954062
35	0.1174261309
36	0.1155719594
37	0.1138994834
38	0.1110931603
39	0.1096683898
40	0.107942747
41	0.1066485347
42	0.1049764104
43	0.1041362139
44	0.1028034037
45	0.1015269196
46	0.1000919748
47	0.09881840282
48	0.09790804588
49	0.09675458488
50	0.09601703812
51	0.09475109243
52	0.09374038955
53	0.09264196157
54	0.09213472114
55	0.09097233349
56	0.09005263299
57	0.08930863927
58	0.0881888345
59	0.087165517
60	0.08657234735
61	0.08603368623
62	0.08521752412
63	0.08415069063
64	0.08349337872
65	0.0827627129
66	0.08196551979
67	0.08110726205
68	0.08012077926
69	0.07944856288
70	0.07887399137
71	0.07823603433
72	0.07740937624
73	0.07669993669
74	0.07616510527
75	0.07538365458
76	0.0741476099
77	0.07349710393
78	0.07280667735
79	0.07215921176
80	0.0717353138
81	0.07094635837
82	0.07013950154
83	0.06936984356
84	0.06882389806
85	0.06826058443
86	0.0678427243
87	0.06747270797
88	0.06703171604
89	0.0664491872
90	0.06573941919
91	0.06516946153
92	0.06466275697
93	0.06413854411
94	0.06347555232
95	0.06295912714
96	0.06244227523
97	0.06213342544
98	0.06158675578
99	0.06111764423
100	0.06046606652
101	0.06002889653
102	0.05972824614
103	0.05928542625
104	0.05878025223
105	0.05843941019
106	0.05787488879
107	0.05749002437
108	0.05733857184
109	0.05697377092
110	0.05649711014
111	0.05626024822
112	0.05576111047
113	0.05542879473
114	0.05507578291
115	0.05475899182
116	0.05414590558
117	0.05386066605
118	0.05338996189
119	0.05308661458
120	0.05272454162
121	0.05236221055
122	0.0519053324
123	0.05168986951
124	0.05111739336
125	0.05089651748
126	0.05060860637
127	0.05003614212
128	0.04963703117
129	0.04928198966
130	0.0489616213
131	0.04865544309
132	0.04834528778
133	0.04812108392
134	0.04755243127
135	0.04705426284
136	0.04671429495
